company_names,ratings,area,employees,public_private,reviews,jobs
TCS,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public ,68.5k,532
Accenture,4.0,IT Services & Consulting , 1 Lakh+ Employees , Public ,43.4k,4.2k
Cognizant,3.9,IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 ,39k,599
Wipro,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public ,36.1k,364
ICICI Bank,4.0,Banking , 1 Lakh+ Employees , Public ,31.4k,222
HDFC Bank,3.9,Banking , 1 Lakh+ Employees , Public ,31.2k,527
Infosys,3.9,IT Services & Consulting , 1 Lakh+ Employees , Public ,29.7k,1k
Capgemini,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public ,27.6k,944
Tech Mahindra,3.7,IT Services & Consulting , 1 Lakh+ Employees , Public ,25.8k,1.1k
HCLTech,3.7,IT Services & Consulting , 1 Lakh+ Employees , Public ,25.3k,677
Genpact,3.9,IT Services & Consulting , 1 Lakh+ Employees , Public ,24.7k,665
Axis Bank,3.8,Banking , 50k-1 Lakh Employees , Public ,20.6k,313
Concentrix Corporation,3.9,BPO , 50k-1 Lakh Employees , Public ,20.4k,113
Amazon,4.1,Internet , 1 Lakh+ Employees , Public ,19.6k,669
Reliance Jio,3.9,Telecom , 50k-1 Lakh Employees , Public ,18.8k,169
IBM,4.1,Software Product , 50k-1 Lakh Employees , Public ,18.8k,1.8k
Larsen & Toubro Limited,4.0,Engineering & Construction , 10k-50k Employees , Public ,17.5k,264
Reliance Retail,3.9,Retail , 1 Lakh+ Employees , 17 years old ,17.1k,251
HDB Financial Services,4.0,NBFC , 1 Lakh+ Employees , 16 years old ,16.5k,98
Teleperformance,3.6,BPO , 50k-1 Lakh Employees , Forbes Global 2000 ,16.2k,289
Vodafone Idea,4.2,5k-10k Employees , Public , 5 years old ,14.7k,348
BYJU'S,3.1,EdTech , 10k-50k Employees , Indian Unicorn ,13.7k,912
Deloitte,4.0,Management Consulting , 1 Lakh+ Employees , 178 years old ,13.6k,302
Kotak Mahindra Bank,3.8,Banking , 50k-1 Lakh Employees , Public ,13.2k,256
Reliance Industries,4.0,Oil & Gas , Public , 46 years old ,12.4k,35
Bharti Airtel,4.0,Telecom , 10k-50k Employees , Public ,11.4k,313
Tata Motors,4.2,Automobile , 10k-50k Employees , Public ,10.5k,18
iEnergizer,4.5,BPO , 10k-50k Employees , 23 years old ,9.7k,105
Flipkart,4.1,Internet , 10k-50k Employees , Public ,9.2k,420
WNS,3.5,BPO , 10k-50k Employees , 27 years old ,9.1k,218
IndusInd Bank,3.7,Banking , 10k-50k Employees , Public ,8.5k,252
Mahindra & Mahindra,4.1,Automobile , 1 Lakh+ Employees , Public ,8.4k,96
Ernst & Young,3.6,Management Consulting , 50k-1 Lakh Employees , 21 years old ,8.3k,1.8k
AU Small Finance Bank,4.5,Banking , 10k-50k Employees , Fortune India 500 ,8k,166
Infosys BPM,3.9,BPO , 10k-50k Employees , 21 years old ,7.8k,62
DXC Technology,3.8,IT Services & Consulting , 10k-50k Employees , Public ,7.8k,141
IDFC FIRST Bank,4.0,Banking , 10k-50k Employees , Public ,7.4k,87
Conneqt Business Solutions,3.7,IT Services & Consulting , 10k-50k Employees , 21 years old ,7.2k,53
HDFC Life,4.0,Insurance , 10k-50k Employees , Public ,7.1k,112
LTIMindtree,3.7,IT Services & Consulting , 50k-1 Lakh Employees , Public ,7k,37
Bajaj Finserv,4.0,Insurance , 10k-50k Employees , Public ,6.7k,49
HSBC Group,4.1,Banking , 10k-50k Employees , Forbes Global 2000 ,6.5k,28
Samsung,4.1,Consumer Electronics & Appliances , 5k-10k Employees , Public ,6.5k,257
Hinduja Global Solutions,3.9,Software Product , 10k-50k Employees , Public ,6.5k,26
Mphasis,3.5,IT Services & Consulting , 10k-50k Employees , Public ,6.5k,74
PwC,3.6,Management Consulting , 10k-50k Employees , Conglomerate ,6.5k,520
Startek,3.2,BPO , 10k-50k Employees , Public ,6.4k,45
Ericsson,4.3,10k-50k Employees , Forbes Global 2000 , 147 years old ,6.3k,76
Maruti Suzuki,4.2,Automobile , 10k-50k Employees , Public ,6.2k,31
Yes Bank,3.9,Banking , 10k-50k Employees , Public ,5.9k,27
Asian Paints,4.1,Chemicals , 5k-10k Employees , Public ,5.9k,100
Cipla Pharmaceutical,4.1,Pharma , 10k-50k Employees , Public ,5.8k,50
Dr. Reddy's,4.1,Pharma , 10k-50k Employees , Public ,5.7k,149
Sutherland Global Services,3.7,IT Services & Consulting , 10k-50k Employees , 37 years old ,5.7k,189
UltraTech Cement,4.2,Building Material , 10k-50k Employees , Public ,5.5k,16
NTT DATA,4.0,10k-50k Employees , 35 years old , Chiyoda City +46 more,5.5k,102
EXL Service,3.8,Analytics & KPO , 10k-50k Employees , 24 years old ,5.4k,209
ICICI Prudential Life Insurance,4.1,Insurance , 10k-50k Employees , Public ,5.3k,254
Bandhan Bank,3.8,Banking , 50k-1 Lakh Employees , Public ,5.3k,31
Paytm,3.4,FinTech , 10k-50k Employees , Public ,5.3k,619
Jana Small Finance Bank,3.8,Banking , 10k-50k Employees , Public ,5.3k,187
HCL Group,3.7,IT Services & Consulting , 1 Lakh+ Employees , 47 years old ,5.2k,1
Lupin,4.1,Pharma , 10k-50k Employees , Public ,5.2k,8
Indian Army,4.7,Defence & Aerospace , 1 Lakh+ Employees , Public ,5.1k,--
Bajaj Finance,4.0,NBFC , 10k-50k Employees , 36 years old ,5.1k,143
TATA Steel,4.1,Iron & Steel , 1 Lakh+ Employees , Public ,5k,28
Udaan,4.0,Internet , 1k-5k Employees , Indian Unicorn ,5k,309
L&T Infotech,3.8,IT Services & Consulting , 10k-50k Employees , Public ,5k,138
ITC,3.9,FMCG , 10k-50k Employees , Public ,4.9k,80
Zydus Lifesciences,4.1,Pharma , 10k-50k Employees , Public ,4.9k,38
Wells Fargo,4.1,Banking , 10k-50k Employees , Public ,4.8k,52
JP Morgan Chase,4.2,Financial Services , 50k-1 Lakh Employees , Forbes Global 2000 ,4.7k,1.1k
Delhivery,4.0,10k-50k Employees , Fortune India 500 , 12 years old ,4.7k,393
FIS,3.9,FinTech , 10k-50k Employees , 55 years old ,4.7k,90
Quess,4.0,Recruitment , 1 Lakh+ Employees , Public ,4.6k,239
Hindustan Unilever,4.2,FMCG , 10k-50k Employees , Public ,4.6k,210
Amazon Development Centre India,4.2,Internet , 10k-50k Employees , Hyderabad/Secunderabad +61 more,4.6k,28
IIFL Finance,3.9,NBFC , 10k-50k Employees , Public ,4.6k,132
Hexaware Technologies,3.7,IT Services & Consulting , 10k-50k Employees , Fortune India 500 ,4.4k,352
Sun Pharmaceutical Industries,4.1,Pharma , 10k-50k Employees , Public ,4.3k,100
JSW Steel,3.9,Iron & Steel , 10k-50k Employees , Public ,4.2k,75
Home Credit Finance,4.1,Financial Services , 10k-50k Employees , 11 years old ,4.2k,87
Ujjivan Small Finance Bank,4.1,Banking , 10k-50k Employees , Public ,4.2k,119
Max Life Insurance,4.1,Insurance , 10k-50k Employees , 23 years old ,4.1k,378
KPMG India,3.6,Management Consulting , 10k-50k Employees , 36 years old ,4.1k,416
Shapoorji Pallonji Group,4.2,Engineering & Construction , 5k-10k Employees , Conglomerate ,4.1k,30
Oracle,3.8,Software Product , 50k-1 Lakh Employees , Public ,4.1k,212
Aurobindo Pharma,4.0,Pharma , 10k-50k Employees , Public ,4.1k,6
Muthoot Finance,3.6,NBFC , 10k-50k Employees , Public ,4.1k,399
OPPO,3.9,Consumer Electronics & Appliances , 10k-50k Employees , Public ,4.1k,14
eClerx,3.4,IT Services & Consulting , 10k-50k Employees , Public ,4k,180
Ashok Leyland,4.1,Automobile , 5k-10k Employees , Public ,4k,2
Capgemini Technology Services India Limited,4.0,IT Services & Consulting , 1 Lakh+ Employees , Bengaluru/Bangalore +35 more,4k,2
Shriram Transport Finance,4.1,NBFC , 10k-50k Employees , Public ,4k,1
Tata Projects,4.2,Engineering & Construction , 5k-10k Employees , Public ,4k,35
Siemens,4.2,Power , 5k-10k Employees , Public ,4k,1.4k
Apollo Hospitals,4.1,Healthcare , 10k-50k Employees , Public ,4k,68
JLL,4.2,Real Estate , 10k-50k Employees , Forbes Global 2000 ,4k,24
Vivo,4.0,Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate ,3.9k,5
L&T Construction,4.0,Engineering & Construction , 10k-50k Employees , Public ,3.9k,--
First Source,3.8,BPO , 10k-50k Employees , Public ,3.8k,102
JustDial,3.5,Internet , 10k-50k Employees , Public ,3.8k,107
Omega Healthcare,3.8,Healthcare , 10k-50k Employees , 20 years old ,3.8k,84
Hero MotoCorp,4.1,Automobile , 5k-10k Employees , Public ,3.8k,7
Hewlett-Packard Enterprise,4.3,Emerging Technologies , 10k-50k Employees , Forbes Global 2000 ,3.8k,60
Megha Engineering & Infrastructures,4.0,Engineering & Construction , 5k-10k Employees , Conglomerate ,3.7k,9
Bajaj Allianz Life Insurance,4.1,Insurance , 10k-50k Employees , 22 years old ,3.7k,30
Mahindra & Mahindra Financial Services,4.3,NBFC , 10k-50k Employees , Public ,3.7k,59
Cyient,3.7,IT Services & Consulting , 10k-50k Employees , Public ,3.6k,287
ICICI Lombard General Insurance Company,3.8,Insurance , 10k-50k Employees , Public ,3.6k,137
D Mart,3.9,Retail , 10k-50k Employees , Fortune India 500 ,3.5k,90
Indiamart Intermesh,3.6,Internet , 1k-5k Employees , 27 years old ,3.5k,909
