phone_names,ratings,reviews,price,offer,ram,rom,screen_size,expandable,rear_camera,front_camera,battery,processor
SAMSUNG Galaxy F14 5G GOAT Green,"69,173","4,895","₹18,490","₹14,990",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 2MP , 13MP Front Camera,6000 mAh Battery,"Exynos 1330, Octa Core Processor"
vivo T2x 5G Glimmer Black,"50,584","2,984","₹20,999","₹14,999",8 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor
vivo T2x 5G Aurora Gold,"50,584","2,984","₹20,999","₹14,999",8 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor
vivo T2x 5G Glimmer Black,"2,50,618","13,734","₹18,999","₹12,999",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor
vivo T2x 5G Marine Blue,"1,30,651","6,940","₹17,999","₹11,999",4 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor
vivo T2x 5G Aurora Gold,"1,30,651","6,940","₹17,999","₹11,999",4 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor
vivo T2x 5G Marine Blue,"50,584","2,984","₹20,999","₹14,999",8 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor
vivo T2x 5G Aurora Gold,"2,50,618","13,734","₹18,999","₹12,999",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor
vivo T2x 5G Glimmer Black,"1,30,651","6,940","₹17,999","₹11,999",4 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor
OnePlus Nord CE 2 Lite 5G Blue Tide,"1,35,385","9,440","₹19,999","₹16,911",6 GB RAM ,128 GB ROM,16.74 cm (6.59 inch) Display,,64MP Rear Camera , 16MP Front Camera,5000 mAh Battery,
REDMI 12C Matte Black,"10,257",579,"₹13,999","₹6,799",4 GB RAM ,64 GB ROM,17.04 cm (6.71 inch) HD+ Display,yes,50MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Helio G85 Processor
REDMI 12C Lavender Purple,"10,257",579,"₹13,999","₹6,799",4 GB RAM ,64 GB ROM,17.04 cm (6.71 inch) HD+ Display,yes,50MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Helio G85 Processor
REDMI 12 Pastel Blue,"74,985","4,170","₹14,999","₹9,299",4 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) ,yes,50MP + 8MP + 2MP , 8MP Front Camera,5000 mAh Battery,Helio G88 Processor
REDMI 12 Moonstone Silver,"23,733","1,661","₹15,999","₹10,499",6 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) ,yes,50MP + 8MP + 2MP , 8MP Front Camera,5000 mAh Battery,Helio G88 Processor
POCO C51 Royal Blue,"1,33,361","7,456","₹9,999","₹6,249",4 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) HD+ Display,yes,8MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Helio G36 Processor
